source_path,new_path,status,notes
/hotels/royal-tulip-kathmandu,/hotels-in-kathmandu/royal-tulip-kathmandu,200,
/royal-tulip-kathmandu/,/hotels-in-kathmandu/royal-tulip-kathmandu,308->404,"redirected to /royal-tulip-kathmandu, which itself failed"
/hotels/royale-sarovar-portico-agra,/hotels-in-agra/royale-sarovar-portico-agra,200,
/royale-sarovar-portico-agra/,/hotels-in-agra/royale-sarovar-portico-agra,308->404,"redirected to /royale-sarovar-portico-agra, which itself failed"
/hotels/rs-sarovar-portico-palampur,/hotels-in-palampur/rs-sarovar-portico-palampur,200,
/rs-sarovar-portico-palampur/,/hotels-in-palampur/rs-sarovar-portico-palampur,308->404,"redirected to /rs-sarovar-portico-palampur, which itself failed"
/hotels/sairafort-sarovar-portico-jaisalmer,/hotels-in-jaisalmer/sairafort-sarovar-portico-jaisalmer,200,
/sairafort-sarovar-portico-jaisalmer/,/hotels-in-jaisalmer/sairafort-sarovar-portico-jaisalmer,308->404,"redirected to /sairafort-sarovar-portico-jaisalmer, which itself failed"
/hotels/sarovar-ahmedabad,/hotels-in-ahmedabad/sarovar-ahmedabad,200,
/sarovar-ahmedabad/,/hotels-in-ahmedabad/sarovar-ahmedabad,308->404,"redirected to /sarovar-ahmedabad, which itself failed"
/hotels/sarovar-portico-hanumangarh,/hotels-in-hanumangarh/sarovar-portico-hanumangarh,200,
/sarovar-portico-hanumangarh/,/hotels-in-hanumangarh/sarovar-portico-hanumangarh,308->404,"redirected to /sarovar-portico-hanumangarh, which itself failed"
/hotels/sarovar-portico-jalandhar,/hotels-in-jalandhar/sarovar-portico-jalandhar,200,
/sarovar-portico-jalandhar/,/hotels-in-jalandhar/sarovar-portico-jalandhar,308->404,"redirected to /sarovar-portico-jalandhar, which itself failed"
/hotels/sarovar-portico-kolkata-rajarhat,/hotels-in-kolkata/sarovar-portico-kolkata-rajarhat,200,
/sarovar-portico-kolkata-rajarhat/,/hotels-in-kolkata/sarovar-portico-kolkata-rajarhat,308->404,"redirected to /sarovar-portico-kolkata-rajarhat, which itself failed"
/hotels/sarovar-portico-morbi,/hotels-in-morbi/sarovar-portico-morbi,200,
/sarovar-portico-morbi/,/hotels-in-morbi/sarovar-portico-morbi,308->404,"redirected to /sarovar-portico-morbi, which itself failed"
/hotels/sarovar-portico-naraina-new-delhi,/hotels-in-delhi/sarovar-portico-naraina-new-delhi,200,
/sarovar-portico-naraina-new-delhi/,/hotels-in-delhi/sarovar-portico-naraina-new-delhi,308->404,"redirected to /sarovar-portico-naraina-new-delhi, which itself failed"
/hotels/sarovar-portico-saharanpur,/hotels-in-saharanpur/sarovar-portico-saharanpur,200,
/sarovar-portico-saharanpur/,/hotels-in-saharanpur/sarovar-portico-saharanpur,308->404,"redirected to /sarovar-portico-saharanpur, which itself failed"
/hotels/sarovar-portico-somnath,/hotels-in-somnath/sarovar-portico-somnath,200,
/sarovar-portico-somnath/,/hotels-in-somnath/sarovar-portico-somnath,308->404,"redirected to /sarovar-portico-somnath, which itself failed"
/hotels/sarovar-portico-sonipat,/hotels-in-sonipat/sarovar-portico-sonipat,200,
/sarovar-portico-sonipat/,/hotels-in-sonipat/sarovar-portico-sonipat,308->404,"redirected to /sarovar-portico-sonipat, which itself failed"
/hotels/sarovar-portico-srinagar,/hotels-in-srinagar/sarovar-portico-srinagar,200,
/sarovar-portico-srinagar/,/hotels-in-srinagar/sarovar-portico-srinagar,308->404,"redirected to /sarovar-portico-srinagar, which itself failed"
/hotels/sarovar-premiere-srinagar,/hotels-in-srinagar/sarovar-premiere-srinagar,200,
/sarovar-premiere-srinagar/,/hotels-in-srinagar/sarovar-premiere-srinagar,308->404,"redirected to /sarovar-premiere-srinagar, which itself failed"
/hotels/serene-premiere-hargeisa,/hotels-in-hargeisa/serene-premiere-hargeisa,200,
/serene-premiere-hargeisa/,/hotels-in-hargeisa/serene-premiere-hargeisa,308->404,"redirected to /serene-premiere-hargeisa, which itself failed"
/hotels/shyama-sarovar-portico-orai,/hotels-in-orai/shyama-sarovar-portico-orai,200,
/shyama-sarovar-portico-orai/,/hotels-in-orai/shyama-sarovar-portico-orai,308->404,"redirected to /shyama-sarovar-portico-orai, which itself failed"
/hotels/singhania-sarovar-portico-raipur,/hotels-in-raipur/singhania-sarovar-portico-raipur,200,
/singhania-sarovar-portico-raipur/,/hotels-in-raipur/singhania-sarovar-portico-raipur,308->404,"redirected to /singhania-sarovar-portico-raipur, which itself failed"
/hotels/taurus-hotel-mahipalpur-new-delhi,/hotels-in-delhi/taurus-hotel-mahipalpur-new-delhi,200,
/taurus-hotel-mahipalpur-new-delhi/,/hotels-in-delhi/taurus-hotel-mahipalpur-new-delhi,308->404,"redirected to /taurus-hotel-mahipalpur-new-delhi, which itself failed"
/hotels/the-ashtan-sarovar-portico-new-delhi,/hotels-in-delhi/the-ashtan-sarovar-portico-new-delhi,200,
/the-ashtan-sarovar-portico-new-delhi/,/hotels-in-delhi/the-ashtan-sarovar-portico-new-delhi,308->404,"redirected to /the-ashtan-sarovar-portico-new-delhi, which itself failed"
/hotels/the-gokulam-park-kochi,/hotels-in-kochi/the-gokulam-park-kochi,200,
/the-gokulam-park-kochi/,/hotels-in-kochi/the-gokulam-park-kochi,308->404,"redirected to /the-gokulam-park-kochi, which itself failed"
/hotels/the-muse-sarovar-portico-nehru-place-new-delhi,/hotels-in-delhi/the-muse-sarovar-portico-nehru-place-new-delhi,200,
/the-muse-sarovar-portico-nehru-place-new-delhi/,/hotels-in-delhi/the-muse-sarovar-portico-nehru-place-new-delhi,308->404,"redirected to /the-muse-sarovar-portico-nehru-place-new-delhi, which itself failed"
/hotels/the-promenade-pondicherry,/hotels-in-pondicherry/the-promenade-pondicherry,200,
/the-promenade-pondicherry/,/hotels-in-pondicherry/the-promenade-pondicherry,308->404,"redirected to /the-promenade-pondicherry, which itself failed"
/hotels/tulip-inn-gurugram-near-medanta,/hotels-in-gurugram/tulip-inn-gurugram-near-medanta,200,
